40:*******************************************,
Transient Analysis,
Thu Nov 10 09:45:20 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
0,0,4.67847e-08,
1e-17,0,9.96545e-06,
2e-17,0,9.96664e-06,
4e-17,0,9.96904e-06,
8e-17,0,1.00031e-05,
1.6e-16,0,1.00694e-05,
3.2e-16,0,1.01953e-05,
6.4e-16,0,1.04204e-05,
1.28e-15,0,1.07969e-05,
2.56e-15,0,1.1172e-05,
5.12e-15,0,1.13079e-05,
1.024e-14,0,1.07414e-05,
2.048e-14,0,1.0321e-05,
4.096e-14,0,9.51262e-06,
8.192e-14,0,8.55145e-06,
1.6384e-13,0,7.55147e-06,
3.2768e-13,0,6.82493e-06,
6.5536e-13,0,5.1031e-06,
1e-12,0,4.99151e-06,
1.06554e-12,0.065536,0.00242414,
1.19661e-12,0.196608,0.00617874,
1.45875e-12,0.458752,0.0140498,
1.98304e-12,0.98304,0.039024,
2e-12,1,0.0401548,
2.03392e-12,1,0.0395271,
2.10176e-12,1,0.0393315,
2.23744e-12,1,0.0392342,
2.5088e-12,1,0.0388027,
3.05152e-12,1,0.0380667,
4.13696e-12,1,0.0361747,
6.30784e-12,1,0.0321115,
1.06496e-11,1,0.0238371,
1.93331e-11,1,0.0121514,
3.67002e-11,1,0.0029234,
5.87002e-11,1,0.000889653,
8.07002e-11,1,0.000260679,
1.027e-10,1,0.00014664,
1.247e-10,1,-0.000601233,
1.467e-10,1,-0.00155151,
1.687e-10,1,0.0072978,
1.907e-10,1,0.0251387,
2.127e-10,1,0.0161479,
2.347e-10,1,0.000875308,
2.567e-10,1,-5.52646e-05,
2.787e-10,1,5.7904e-05,
3.007e-10,1,-4.05842e-05,
3.227e-10,1,3.98212e-05,
3.447e-10,1,-2.94838e-05,
3.667e-10,1,3.38227e-05,
3.887e-10,1,-2.5697e-05,
4.02e-10,1,3.17457e-05,
4.021e-10,0.9,-0.00959786,
4.023e-10,0.7,-0.0285714,
4.027e-10,0.3,-0.066176,
4.03e-10,0,-0.09167,
4.0308e-10,0,-0.0892241,
4.0324e-10,0,-0.0857013,
4.0356e-10,0,-0.0788868,
4.042e-10,0,-0.0652362,
4.0548e-10,0,-0.0386265,
4.0804e-10,0,0.0130238,
4.1316e-10,0,0.112301,
4.234e-10,0,0.301933,
4.4388e-10,0,0.630688,
4.6588e-10,0,0.849782,
4.8788e-10,0,0.946979,
5.0988e-10,0,0.982232,
5.3188e-10,0,0.993152,
5.5388e-10,0,0.99673,
5.7588e-10,0,0.997692,
5.9788e-10,0,0.998127,
6.1988e-10,0,0.998174,
6.4188e-10,0,0.998274,
6.6388e-10,0,0.998222,
6.8588e-10,0,0.998288,
7.0788e-10,0,0.998227,
7.2988e-10,0,0.998289,
7.5188e-10,0,0.998228,
7.7388e-10,0,0.998289,
7.9588e-10,0,0.998228,
8.01e-10,0,0.998289,
8.011e-10,0.1,1.07583,
8.013e-10,0.3,1.08398,
8.01602e-10,0.602161,1.09886,
8.01925e-10,0.925199,1.10716,
8.02e-10,1,1.10925,
8.02065e-10,1,1.10604,
8.02194e-10,1,1.1011,
8.02452e-10,1,1.09191,
8.02969e-10,1,1.07326,
8.04003e-10,1,1.03756,
8.0607e-10,1,0.96955,
8.10205e-10,1,0.846231,
8.18475e-10,1,0.629534,
8.35014e-10,1,0.285473,
8.57014e-10,1,0.051694,
8.79014e-10,1,0.00288517,
9.01014e-10,1,-1.33834e-05,
9.23014e-10,1,-6.09922e-06,
9.45014e-10,1,-0.000124155,
9.67014e-10,1,0.00010717,
9.89014e-10,1,-0.00010946,
1.01101e-09,1,0.000114946,
1.03301e-09,1,-0.000108155,
1.05501e-09,1,0.000115022,
1.07701e-09,1,-0.000106708,
1.09901e-09,1,0.000115368,
1.1e-09,1,-0.000104023