45:*******************************************,
Transient Analysis,
Thu Nov 10 09:50:19 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
0,0,1.10368e-08,
1e-17,0,1.86592e-07,
2e-17,0,1.73217e-07,
4e-17,0,1.50562e-07,
8e-17,0,1.16303e-07,
1.6e-16,0,9.65131e-08,
3.2e-16,0,4.54084e-08,
6.4e-16,0,8.85891e-08,
1.28e-15,0,1.12618e-07,
2.56e-15,0,7.62457e-08,
5.12e-15,0,4.89162e-08,
1.024e-14,0,2.70722e-08,
2.048e-14,0,1.90604e-08,
4.096e-14,0,2.49261e-08,
8.192e-14,0,1.20013e-07,
1.6384e-13,0,2.1287e-07,
3.2768e-13,0,2.45078e-07,
6.5536e-13,0,2.6723e-07,
1e-12,0,2.57091e-07,
1.06554e-12,0.065536,0.00241424,
1.19661e-12,0.196608,0.00628423,
1.45875e-12,0.458752,0.0144048,
1.98304e-12,0.98304,0.0396933,
2e-12,1,0.0407931,
2.03392e-12,1,0.0401912,
2.10176e-12,1,0.0400108,
2.23744e-12,1,0.0399202,
2.5088e-12,1,0.0395227,
3.05152e-12,1,0.0388633,
4.13696e-12,1,0.037199,
6.30784e-12,1,0.0336754,
1.06496e-11,1,0.0263108,
1.93331e-11,1,0.0150182,
3.67002e-11,1,0.00466892,
5.87002e-11,1,0.00169914,
8.07002e-11,1,0.000649019,
1.027e-10,1,0.000388208,
1.247e-10,1,0.00012636,
1.467e-10,1,-0.000356581,
1.687e-10,1,-0.00170207,
1.907e-10,1,0.00119954,
2.127e-10,1,0.0161474,
2.347e-10,1,0.0266308,
2.567e-10,1,0.0139532,
2.787e-10,1,0.00205871,
3.007e-10,1,0.000232589,
3.227e-10,1,6.23233e-05,
3.447e-10,1,-2.21284e-05,
3.667e-10,1,2.80606e-05,
3.887e-10,1,-2.53376e-05,
4.02e-10,1,2.71193e-05,
4.021e-10,0.9,-0.00954965,
4.023e-10,0.7,-0.028593,
4.027e-10,0.3,-0.0669826,
4.03e-10,0,-0.0933759,
4.0308e-10,0,-0.0912564,
4.0324e-10,0,-0.0883503,
4.0356e-10,0,-0.0827519,
4.042e-10,0,-0.071509,
4.0548e-10,0,-0.0496042,
4.0804e-10,0,-0.00700934,
4.1316e-10,0,0.074434,
4.234e-10,0,0.229916,
4.4388e-10,0,0.517368,
4.6588e-10,0,0.749859,
4.8788e-10,0,0.884279,
5.0988e-10,0,0.950237,
5.3188e-10,0,0.979098,
5.5388e-10,0,0.990933,
5.7588e-10,0,0.995664,
5.9788e-10,0,0.997665,
6.1988e-10,0,0.998395,
6.4188e-10,0,0.998778,
6.6388e-10,0,0.998855,
6.8588e-10,0,0.998976,
7.0788e-10,0,0.998934,
7.2988e-10,0,0.998956,
7.5188e-10,0,0.998906,
7.7388e-10,0,0.99892,
7.9588e-10,0,0.99892,
8.01e-10,0,0.998981,
8.011e-10,0.1,1.07574,
8.013e-10,0.3,1.08416,
8.01608e-10,0.607955,1.10029,
8.01936e-10,0.935588,1.10938,
8.02e-10,1,1.11155,
8.02066e-10,1,1.10863,
8.02197e-10,1,1.1042,
8.02459e-10,1,1.09595,
8.02983e-10,1,1.07918,
8.04031e-10,1,1.04695,
8.06128e-10,1,0.985147,
8.10322e-10,1,0.872028,
8.18709e-10,1,0.672659,
8.35484e-10,1,0.348245,
8.57484e-10,1,0.0970154,
8.79484e-10,1,0.0155773,
9.01484e-10,1,0.00195242,
9.23484e-10,1,0.000236492,
9.45484e-10,1,-0.000138932,
9.67484e-10,1,7.54958e-05,
9.89484e-10,1,-0.000110916,
1.01148e-09,1,9.97808e-05,
1.03348e-09,1,-9.99022e-05,
1.05548e-09,1,0.000101309,
1.07748e-09,1,-9.86177e-05,
1.09948e-09,1,0.000101351,
1.1e-09,1,-9.33857e-05