58:*******************************************,
Transient Analysis,
Thu Nov 10 11:58:20 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
0,1,-1.32366e-07,
1e-18,1,0.000696592,
2e-18,1,0.000696592,
4e-18,1,0.000696592,
8e-18,1,0.000307067,
1.6e-17,1,0.000112392,
3.2e-17,1,1.52271e-05,
6.4e-17,1,-3.30168e-05,
1.28e-16,1,-5.64866e-05,
2.56e-16,1,-6.48319e-05,
5.12e-16,1,-6.4416e-05,
1.024e-15,1,-5.64206e-05,
2.048e-15,1,-4.28889e-05,
4.096e-15,1,-2.09453e-05,
8.192e-15,1,-1.44961e-05,
1.6384e-14,1,-3.36857e-06,
3.2768e-14,1,-3.92556e-06,
6.5536e-14,1,2.93171e-06,
1.31072e-13,1,-2.33697e-06,
2.62144e-13,1,2.6805e-06,
5.24288e-13,1,-2.96333e-06,
1.04858e-12,1,2.82467e-06,
2.09715e-12,1,-3.07201e-06,
4.1943e-12,1,2.81084e-06,
8.38861e-12,1,-3.08421e-06,
1.67772e-11,1,2.81385e-06,
3.35544e-11,1,-3.08461e-06,
6.71089e-11,1,2.81633e-06,
1.34218e-10,1,-3.07943e-06,
2.34218e-10,1,2.81311e-06,
3.34218e-10,1,-3.0778e-06,
4.34218e-10,1,2.81347e-06,
5.34218e-10,1,-3.07738e-06,
6.34218e-10,1,2.81298e-06,
7.34218e-10,1,-3.07811e-06,
8.34218e-10,1,2.81248e-06,
9.34218e-10,1,-3.07822e-06,
1.03422e-09,1,2.81253e-06,
1.13422e-09,1,-3.07807e-06,
1.23422e-09,1,2.81283e-06,
1.33422e-09,1,-3.07772e-06,
1.43422e-09,1,2.8127e-06,
1.53422e-09,1,-3.07784e-06,
1.63422e-09,1,2.81245e-06,
1.73422e-09,1,-3.078e-06,
1.83422e-09,1,2.81231e-06,
1.93422e-09,1,-3.07818e-06,
2.03422e-09,1,2.81204e-06,
2.13422e-09,1,-3.07833e-06,
2.23422e-09,1,2.81189e-06,
2.33422e-09,1,-3.0785e-06,
2.43422e-09,1,2.81242e-06,
2.53422e-09,1,-3.07769e-06,
2.63422e-09,1,2.8131e-06,
2.73422e-09,1,-3.07692e-06,
2.83422e-09,1,2.81248e-06,
2.93422e-09,1,-3.07758e-06,
3.03422e-09,1,2.81194e-06,
3.13422e-09,1,-3.07792e-06,
3.23422e-09,1,2.81136e-06,
3.33422e-09,1,-3.07858e-06,
3.43422e-09,1,2.81212e-06,
3.53422e-09,1,-3.07726e-06,
3.63422e-09,1,2.81204e-06,
3.73422e-09,1,-3.0773e-06,
3.83422e-09,1,2.81217e-06,
3.93422e-09,1,-3.07715e-06,
4.03422e-09,1,2.81195e-06,
4.13422e-09,1,-3.07727e-06,
4.23422e-09,1,2.81212e-06,
4.33422e-09,1,-3.07712e-06,
4.43422e-09,1,2.81188e-06,
4.53422e-09,1,-3.07726e-06,
4.63422e-09,1,2.81203e-06,
4.73422e-09,1,-3.07711e-06,
4.83422e-09,1,2.81181e-06,
4.93422e-09,1,-3.07722e-06,
5e-09,1,2.81186e-06