53:*******************************************,
Transient Analysis,
Thu Nov 10 11:52:36 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
0,1,-1.15485e-07,
1e-17,1,3.95889e-05,
2e-17,1,2.81213e-05,
4e-17,1,5.18611e-06,
8e-17,1,-1.4293e-05,
1.6e-16,1,-1.01359e-07,
3.2e-16,1,7.60629e-07,
6.4e-16,1,6.77891e-07,
1.28e-15,1,9.18718e-07,
2.56e-15,1,6.67515e-07,
5.12e-15,1,2.84985e-07,
1.024e-14,1,-1.73515e-07,
2.048e-14,1,1.95616e-07,
4.096e-14,1,-2.13062e-07,
8.192e-14,1,8.31863e-08,
1.6384e-13,1,-2.51993e-07,
3.2768e-13,1,6.07876e-08,
6.5536e-13,1,-2.61633e-07,
1.31072e-12,1,5.53351e-08,
2.62144e-12,1,-2.86582e-07,
5.24288e-12,1,5.95097e-08,
1.04858e-11,1,-2.88801e-07,
2.09715e-11,1,5.8237e-08,
4.1943e-11,1,-2.89098e-07,
8.38861e-11,1,5.74401e-08,
1.67772e-10,1,-2.89374e-07,
2.67772e-10,1,5.90181e-08,
3.67772e-10,1,-2.88115e-07,
4.67772e-10,1,5.74364e-08,
5.67772e-10,1,-2.88153e-07,
6.67772e-10,1,5.74451e-08,
7.67772e-10,1,-2.88174e-07,
8.67772e-10,1,5.73924e-08,
9.67772e-10,1,-2.88181e-07,
1.06777e-09,1,5.74067e-08,
1.16777e-09,1,-2.88172e-07,
1.26777e-09,1,5.74296e-08,
1.36777e-09,1,-2.88184e-07,
1.46777e-09,1,5.74303e-08,
1.56777e-09,1,-2.88168e-07,
1.66777e-09,1,5.74509e-08,
1.76777e-09,1,-2.88164e-07,
1.86777e-09,1,5.74582e-08,
1.96777e-09,1,-2.88155e-07,
2.06777e-09,1,5.74763e-08,
2.16777e-09,1,-2.88185e-07,
2.26777e-09,1,5.74391e-08,
2.36777e-09,1,-2.88221e-07,
2.46777e-09,1,5.73955e-08,
2.56777e-09,1,-2.88247e-07,
2.66777e-09,1,5.737e-08,
2.76777e-09,1,-2.88287e-07,
2.86777e-09,1,5.7331e-08,
2.96777e-09,1,-2.88327e-07,
3.06777e-09,1,5.73002e-08,
3.16777e-09,1,-2.88371e-07,
3.26777e-09,1,5.72651e-08,
3.36777e-09,1,-2.88411e-07,
3.46777e-09,1,5.72279e-08,
3.56777e-09,1,-2.8846e-07,
3.66777e-09,1,5.72221e-08,
3.76777e-09,1,-2.88212e-07,
3.86777e-09,1,5.74345e-08,
3.96777e-09,1,-2.87982e-07,
4.06777e-09,1,5.76897e-08,
4.16777e-09,1,-2.87735e-07,
4.26777e-09,1,5.79235e-08,
4.36777e-09,1,-2.87498e-07,
4.46777e-09,1,5.74781e-08,
4.56777e-09,1,-2.87948e-07,
4.66777e-09,1,5.70147e-08,
4.76777e-09,1,-2.87955e-07,
4.86777e-09,1,5.70149e-08,
4.96777e-09,1,-2.87943e-07,
5e-09,1,5.7037e-08