8:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:34:47 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0,8.58857e-10,
0.001,8.86669e-10,
0.002,9.16289e-10,
0.003,9.46406e-10,
0.004,9.77495e-10,
0.005,1.00959e-09,
0.006,1.04271e-09,
0.007,1.07691e-09,
0.008,1.11221e-09,
0.009,1.14864e-09,
0.01,1.18624e-09,
0.011,1.22505e-09,
0.012,1.26511e-09,
0.013,1.30644e-09,
0.014,1.34911e-09,
0.015,1.39314e-09,
0.016,1.43857e-09,
0.017,1.48546e-09,
0.018,1.53384e-09,
0.019,1.58377e-09,
0.02,1.63528e-09,
0.021,1.68844e-09,
0.022,1.74328e-09,
0.023,1.79987e-09,
0.024,1.85825e-09,
0.025,1.91848e-09,
0.026,1.98061e-09,
0.027,2.04472e-09,
0.028,2.11084e-09,
0.029,2.17905e-09,
0.03,2.24942e-09,
0.031,2.32199e-09,
0.032,2.39685e-09,
0.033,2.47407e-09,
0.034,2.5537e-09,
0.035,2.63583e-09,
0.036,2.72053e-09,
0.037,2.80788e-09,
0.038,2.89796e-09,
0.039,2.99085e-09,
0.04,3.08663e-09,
0.041,3.18539e-09,
0.042,3.28722e-09,
0.043,3.39221e-09,
0.044,3.50046e-09,
0.045,3.61206e-09,
0.046,3.72711e-09,
0.047,3.84571e-09,
0.048,3.96797e-09,
0.049,4.09399e-09,
0.05,4.22389e-09,
0.051,4.35778e-09,
0.052,4.49578e-09,
0.053,4.63801e-09,
0.054,4.78458e-09,
0.055,4.93563e-09,
0.056,5.09129e-09,
0.057,5.2517e-09,
0.058,5.41698e-09,
0.059,5.58728e-09,
0.06,5.76274e-09,
0.061,5.94352e-09,
0.062,6.12977e-09,
0.063,6.32164e-09,
0.064,6.51929e-09,
0.065,6.72289e-09,
0.066,6.93261e-09,
0.067,7.14863e-09,
0.068,7.37112e-09,
0.069,7.60026e-09,
0.07,7.83625e-09,
0.071,8.07927e-09,
0.072,8.32953e-09,
0.073,8.58723e-09,
0.074,8.85257e-09,
0.075,9.12578e-09,
0.076,9.40707e-09,
0.077,9.69666e-09,
0.078,9.99479e-09,
0.079,1.03017e-08,
0.08,1.06176e-08,
0.081,1.09428e-08,
0.082,1.12775e-08,
0.083,1.1622e-08,
0.084,1.19766e-08,
0.085,1.23414e-08,
0.086,1.27169e-08,
0.087,1.31033e-08,
0.088,1.35009e-08,
0.089,1.39099e-08,
0.09,1.43308e-08,
0.091,1.47638e-08,
0.092,1.52093e-08,
0.093,1.56676e-08,
0.094,1.6139e-08,
0.095,1.66239e-08,
0.096,1.71226e-08,
0.097,1.76355e-08,
0.098,1.81631e-08,
0.099,1.87056e-08,
0.1,1.92635e-08,
0.101,1.98371e-08,
0.102,2.0427e-08,
0.103,2.10335e-08,
0.104,2.16571e-08,
0.105,2.22981e-08,
0.106,2.29571e-08,
0.107,2.36346e-08,
0.108,2.43309e-08,
0.109,2.50466e-08,
0.11,2.57822e-08,
0.111,2.65383e-08,
0.112,2.73152e-08,
0.113,2.81136e-08,
0.114,2.8934e-08,
0.115,2.9777e-08,
0.116,3.06432e-08,
0.117,3.1533e-08,
0.118,3.24472e-08,
0.119,3.33863e-08,
0.12,3.4351e-08,
0.121,3.53418e-08,
0.122,3.63595e-08,
0.123,3.74048e-08,
0.124,3.84782e-08,
0.125,3.95805e-08,
0.126,4.07124e-08,
0.127,4.18747e-08,
0.128,4.3068e-08,
0.129,4.42931e-08,
0.13,4.55508e-08,
0.131,4.68419e-08,
0.132,4.81671e-08,
0.133,4.95274e-08,
0.134,5.09235e-08,
0.135,5.23561e-08,
0.136,5.38265e-08,
0.137,5.53351e-08,
0.138,5.68832e-08,
0.139,5.84714e-08,
0.14,6.01008e-08,
0.141,6.17722e-08,
0.142,6.34869e-08,
0.143,6.52454e-08,
0.144,6.70491e-08,
0.145,6.88987e-08,
0.146,7.07955e-08,
0.147,7.27403e-08,
0.148,7.47344e-08,
0.149,7.67786e-08,
0.15,7.88743e-08,
0.151,8.10223e-08,
0.152,8.3224e-08,
0.153,8.54801e-08,
0.154,8.77923e-08,
0.155,9.01613e-08,
0.156,9.25885e-08,
0.157,9.50749e-08,
0.158,9.7622e-08,
0.159,1.00231e-07,
0.16,1.02902e-07,
0.161,1.05638e-07,
0.162,1.08439e-07,
0.163,1.11306e-07,
0.164,1.14242e-07,
0.165,1.17246e-07,
0.166,1.2032e-07,
0.167,1.23466e-07,
0.168,1.26684e-07,
0.169,1.29976e-07,
0.17,1.33343e-07,
0.171,1.36786e-07,
0.172,1.40307e-07,
0.173,1.43905e-07,
0.174,1.47584e-07,
0.175,1.51342e-07,
0.176,1.55183e-07,
0.177,1.59105e-07,
0.178,1.63111e-07,
0.179,1.67201e-07,
0.18,1.71377e-07,
0.181,1.75638e-07,
0.182,1.79985e-07,
0.183,1.84419e-07,
0.184,1.8894e-07,
0.185,1.93548e-07,
0.186,1.98244e-07,
0.187,2.03026e-07,
0.188,2.07896e-07,
0.189,2.12852e-07,
0.19,2.17893e-07,
0.191,2.23018e-07,
0.192,2.28225e-07,
0.193,2.33512e-07,
0.194,2.38877e-07,
0.195,2.44316e-07,
0.196,2.49824e-07,
0.197,2.55397e-07,
0.198,2.61028e-07,
0.199,2.66708e-07,
0.2,2.72428e-07,
0.201,2.78175e-07,
0.202,2.83933e-07,
0.203,2.89682e-07,
0.204,2.95395e-07,
0.205,3.01039e-07,
0.206,3.06569e-07,
0.207,3.11925e-07,
0.208,3.17025e-07,
0.209,3.21763e-07,
0.21,3.25996e-07,
0.211,3.29559e-07,
0.212,3.32288e-07,
0.213,3.34085e-07,
0.214,3.34981e-07,
0.215,3.35125e-07,
0.216,3.34712e-07,
0.217,3.3391e-07,
0.218,3.32846e-07,
0.219,3.31601e-07,
0.22,3.3023e-07,
0.221,3.28767e-07,
0.222,3.27234e-07,
0.223,3.25645e-07,
0.224,3.24009e-07,
0.225,3.22331e-07,
0.226,3.20612e-07,
0.227,3.18853e-07,
0.228,3.17049e-07,
0.229,3.15194e-07,
0.23,3.13278e-07,
0.231,3.11284e-07,
0.232,3.09184e-07,
0.233,3.06936e-07,
0.234,3.04473e-07,
0.235,3.01696e-07,
0.236,2.98477e-07,
0.237,2.94694e-07,
0.238,2.9029e-07,
0.239,2.85313e-07,
0.24,2.79876e-07,
0.241,2.74113e-07,
0.242,2.68134e-07,
0.243,2.62026e-07,
0.244,2.55851e-07,
0.245,2.49656e-07,
0.246,2.43474e-07,
0.247,2.3733e-07,
0.248,2.31243e-07,
0.249,2.25227e-07,
0.25,2.19293e-07,
0.251,2.1345e-07,
0.252,2.07703e-07,
0.253,2.02058e-07,
0.254,1.96518e-07,
0.255,1.91086e-07,
0.256,1.85763e-07,
0.257,1.80551e-07,
0.258,1.7545e-07,
0.259,1.70461e-07,
0.26,1.65583e-07,
0.261,1.60817e-07,
0.262,1.56161e-07,
0.263,1.51615e-07,
0.264,1.47177e-07,
0.265,1.42847e-07,
0.266,1.38623e-07,
0.267,1.34504e-07,
0.268,1.30488e-07,
0.269,1.26573e-07,
0.27,1.22759e-07,
0.271,1.19043e-07,
0.272,1.15424e-07,
0.273,1.119e-07,
0.274,1.08469e-07,
0.275,1.05129e-07,
0.276,1.01879e-07,
0.277,9.87176e-08,
0.278,9.56417e-08,
0.279,9.26503e-08,
0.28,8.97413e-08,
0.281,8.69132e-08,
0.282,8.4164e-08,
0.283,8.14921e-08,
0.284,7.88957e-08,
0.285,7.63731e-08,
0.286,7.39226e-08,
0.287,7.15425e-08,
0.288,6.92312e-08,
0.289,6.6987e-08,
0.29,6.48083e-08,
0.291,6.26935e-08,
0.292,6.06411e-08,
0.293,5.86495e-08,
0.294,5.67171e-08,
0.295,5.48426e-08,
0.296,5.30243e-08,
0.297,5.12609e-08,
0.298,4.9551e-08,
0.299,4.78932e-08,
0.3,4.6286e-08,
0.301,4.47283e-08,
0.302,4.32185e-08,
0.303,4.17556e-08,
0.304,4.03381e-08,
0.305,3.89649e-08,
0.306,3.76348e-08,
0.307,3.63465e-08,
0.308,3.5099e-08,
0.309,3.3891e-08,
0.31,3.27215e-08,
0.311,3.15895e-08,
0.312,3.04937e-08,
0.313,2.94332e-08,
0.314,2.8407e-08,
0.315,2.74141e-08,
0.316,2.64535e-08,
0.317,2.55244e-08,
0.318,2.46256e-08,
0.319,2.37565e-08,
0.32,2.29161e-08,
0.321,2.21035e-08,
0.322,2.13178e-08,
0.323,2.05584e-08,
0.324,1.98244e-08,
0.325,1.91151e-08,
0.326,1.84296e-08,
0.327,1.77672e-08,
0.328,1.71273e-08,
0.329,1.65092e-08,
0.33,1.59121e-08,
0.331,1.53354e-08,
0.332,1.47785e-08,
0.333,1.42407e-08,
0.334,1.37215e-08,
0.335,1.32202e-08,
0.336,1.27363e-08,
0.337,1.22692e-08,
0.338,1.18184e-08,
0.339,1.13834e-08,
0.34,1.09636e-08,
0.341,1.05586e-08,
0.342,1.01678e-08,
0.343,9.79088e-09,
0.344,9.42726e-09,
0.345,9.07656e-09,
0.346,8.73832e-09,
0.347,8.41217e-09,
0.348,8.09766e-09,
0.349,7.79443e-09,
0.35,7.50208e-09,
0.351,7.22027e-09,
0.352,6.94862e-09,
0.353,6.68679e-09,
0.354,6.43445e-09,
0.355,6.19128e-09,
0.356,5.95695e-09,
0.357,5.73117e-09,
0.358,5.51364e-09,
0.359,5.30407e-09,
0.36,5.10219e-09,
0.361,4.90774e-09,
0.362,4.72045e-09,
0.363,4.54007e-09,
0.364,4.36635e-09,
0.365,4.19908e-09,
0.366,4.038e-09,
0.367,3.88292e-09,
0.368,3.73361e-09,
0.369,3.58987e-09,
0.37,3.4515e-09,
0.371,3.31832e-09,
0.372,3.19012e-09,
0.373,3.06674e-09,
0.374,2.948e-09,
0.375,2.83373e-09,
0.376,2.72377e-09,
0.377,2.61798e-09,
0.378,2.51618e-09,
0.379,2.41824e-09,
0.38,2.32402e-09,
0.381,2.23338e-09,
0.382,2.14619e-09,
0.383,2.06233e-09,
0.384,1.98166e-09,
0.385,1.90408e-09,
0.386,1.82947e-09,
0.387,1.75772e-09,
0.388,1.68872e-09,
0.389,1.62237e-09,
0.39,1.55857e-09,
0.391,1.49724e-09,
0.392,1.43826e-09,
0.393,1.38157e-09,
0.394,1.32706e-09,
0.395,1.27467e-09,
0.396,1.2243e-09,
0.397,1.17589e-09,
0.398,1.12935e-09,
0.399,1.08463e-09,
0.4,1.04165e-09,
0.401,1.00034e-09,
0.402,9.60637e-10,
0.403,9.22487e-10,
0.404,8.85827e-10,
0.405,8.50601e-10,
0.406,8.16754e-10,
0.407,7.84233e-10,
0.408,7.52986e-10,
0.409,7.22967e-10,
0.41,6.94126e-10,
0.411,6.66421e-10,
0.412,6.39804e-10,
0.413,6.14237e-10,
0.414,5.89677e-10,
0.415,5.66086e-10,
0.416,5.43427e-10,
0.417,5.21663e-10,
0.418,5.0076e-10,
0.419,4.80684e-10,
0.42,4.61403e-10,
0.421,4.42887e-10,
0.422,4.25104e-10,
0.423,4.08028e-10,
0.424,3.9163e-10,
0.425,3.75885e-10,
0.426,3.60765e-10,
0.427,3.46247e-10,
0.428,3.32307e-10,
0.429,3.18924e-10,
0.43,3.06073e-10,
0.431,2.93736e-10,
0.432,2.81891e-10,
0.433,2.7052e-10,
0.434,2.59603e-10,
0.435,2.49123e-10,
0.436,2.39063e-10,
0.437,2.29405e-10,
0.438,2.20135e-10,
0.439,2.11236e-10,
0.44,2.02694e-10,
0.441,1.94496e-10,
0.442,1.86626e-10,
0.443,1.79073e-10,
0.444,1.71823e-10,
0.445,1.64865e-10,
0.446,1.58187e-10,
0.447,1.51778e-10,
0.448,1.45627e-10,
0.449,1.39725e-10