3:*******************************************,
DC Transfer Curves,
Mon Nov 14 19:34:55 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.225,0.449997,
0.001,0.225,0.449997,
0.002,0.225,0.449997,
0.003,0.225,0.449997,
0.004,0.225,0.449996,
0.005,0.225,0.449996,
0.006,0.225,0.449996,
0.007,0.225,0.449996,
0.008,0.225,0.449996,
0.009,0.225,0.449996,
0.01,0.225,0.449996,
0.011,0.225,0.449995,
0.012,0.225,0.449995,
0.013,0.225,0.449995,
0.014,0.225,0.449995,
0.015,0.225,0.449995,
0.016,0.225,0.449994,
0.017,0.225,0.449994,
0.018,0.225,0.449994,
0.019,0.225,0.449994,
0.02,0.225,0.449993,
0.021,0.225,0.449993,
0.022,0.225,0.449993,
0.023,0.225,0.449993,
0.024,0.225,0.449992,
0.025,0.225,0.449992,
0.026,0.225,0.449992,
0.027,0.225,0.449991,
0.028,0.225,0.449991,
0.029,0.225,0.449991,
0.03,0.225,0.44999,
0.031,0.225,0.44999,
0.032,0.225,0.449989,
0.033,0.225,0.449989,
0.034,0.225,0.449989,
0.035,0.225,0.449988,
0.036,0.225,0.449988,
0.037,0.225,0.449987,
0.038,0.225,0.449987,
0.039,0.225,0.449986,
0.04,0.225,0.449986,
0.041,0.225,0.449985,
0.042,0.225,0.449984,
0.043,0.225,0.449984,
0.044,0.225,0.449983,
0.045,0.225,0.449982,
0.046,0.225,0.449982,
0.047,0.225,0.449981,
0.048,0.225,0.44998,
0.049,0.225,0.449979,
0.05,0.225,0.449978,
0.051,0.225,0.449977,
0.052,0.225,0.449977,
0.053,0.225,0.449976,
0.054,0.225,0.449975,
0.055,0.225,0.449974,
0.056,0.225,0.449972,
0.057,0.225,0.449971,
0.058,0.225,0.44997,
0.059,0.225,0.449969,
0.06,0.225,0.449968,
0.061,0.225,0.449966,
0.062,0.225,0.449965,
0.063,0.225,0.449963,
0.064,0.225,0.449962,
0.065,0.225,0.44996,
0.066,0.225,0.449959,
0.067,0.225,0.449957,
0.068,0.225,0.449955,
0.069,0.225,0.449953,
0.07,0.225,0.449951,
0.071,0.225,0.449949,
0.072,0.225,0.449947,
0.073,0.225,0.449945,
0.074,0.225,0.449942,
0.075,0.225,0.44994,
0.076,0.225,0.449937,
0.077,0.225,0.449935,
0.078,0.225,0.449932,
0.079,0.225,0.449929,
0.08,0.225,0.449926,
0.081,0.225,0.449923,
0.082,0.225,0.44992,
0.083,0.225,0.449916,
0.084,0.225,0.449913,
0.085,0.225,0.449909,
0.086,0.225,0.449905,
0.087,0.225,0.449901,
0.088,0.225,0.449896,
0.089,0.225,0.449892,
0.09,0.225,0.449887,
0.091,0.225,0.449883,
0.092,0.225,0.449877,
0.093,0.225,0.449872,
0.094,0.225,0.449867,
0.095,0.225,0.449861,
0.096,0.225,0.449855,
0.097,0.225,0.449848,
0.098,0.225,0.449842,
0.099,0.225,0.449835,
0.1,0.225,0.449828,
0.101,0.225,0.44982,
0.102,0.225,0.449812,
0.103,0.225,0.449804,
0.104,0.225,0.449795,
0.105,0.225,0.449786,
0.106,0.225,0.449777,
0.107,0.225,0.449767,
0.108,0.225,0.449757,
0.109,0.225,0.449746,
0.11,0.225,0.449735,
0.111,0.225,0.449723,
0.112,0.225,0.449711,
0.113,0.225,0.449698,
0.114,0.225,0.449684,
0.115,0.225,0.44967,
0.116,0.225,0.449655,
0.117,0.225,0.44964,
0.118,0.225,0.449624,
0.119,0.225,0.449607,
0.12,0.225,0.449589,
0.121,0.225,0.449571,
0.122,0.225,0.449551,
0.123,0.225,0.449531,
0.124,0.225,0.44951,
0.125,0.225,0.449487,
0.126,0.225,0.449464,
0.127,0.225,0.44944,
0.128,0.225,0.449414,
0.129,0.225,0.449387,
0.13,0.225,0.449359,
0.131,0.225,0.44933,
0.132,0.225,0.449299,
0.133,0.225,0.449267,
0.134,0.225,0.449233,
0.135,0.225,0.449197,
0.136,0.225,0.44916,
0.137,0.225,0.449121,
0.138,0.225,0.44908,
0.139,0.225,0.449037,
0.14,0.225,0.448993,
0.141,0.225,0.448945,
0.142,0.225,0.448896,
0.143,0.225,0.448844,
0.144,0.225,0.44879,
0.145,0.225,0.448733,
0.146,0.225,0.448673,
0.147,0.225,0.44861,
0.148,0.225,0.448544,
0.149,0.225,0.448475,
0.15,0.225,0.448403,
0.151,0.225,0.448326,
0.152,0.225,0.448246,
0.153,0.225,0.448162,
0.154,0.225,0.448074,
0.155,0.225,0.447981,
0.156,0.225,0.447884,
0.157,0.225,0.447781,
0.158,0.225,0.447674,
0.159,0.225,0.447561,
0.16,0.225,0.447442,
0.161,0.225,0.447317,
0.162,0.225,0.447185,
0.163,0.225,0.447047,
0.164,0.225,0.446901,
0.165,0.225,0.446748,
0.166,0.225,0.446586,
0.167,0.225,0.446417,
0.168,0.225,0.446238,
0.169,0.225,0.446049,
0.17,0.225,0.44585,
0.171,0.225,0.445641,
0.172,0.225,0.44542,
0.173,0.225,0.445188,
0.174,0.225,0.444942,
0.175,0.225,0.444683,
0.176,0.225,0.444409,
0.177,0.225,0.44412,
0.178,0.225,0.443814,
0.179,0.225,0.443491,
0.18,0.225,0.44315,
0.181,0.225,0.442788,
0.182,0.225,0.442405,
0.183,0.225,0.442,
0.184,0.225,0.44157,
0.185,0.225,0.441113,
0.186,0.225,0.440629,
0.187,0.225,0.440114,
0.188,0.225,0.439567,
0.189,0.225,0.438984,
0.19,0.225,0.438363,
0.191,0.225,0.4377,
0.192,0.225,0.436993,
0.193,0.225,0.436235,
0.194,0.225,0.435423,
0.195,0.225,0.434552,
0.196,0.225,0.433615,
0.197,0.225,0.432604,
0.198,0.225,0.431512,
0.199,0.225,0.430328,
0.2,0.225,0.429041,
0.201,0.225,0.427635,
0.202,0.225,0.426094,
0.203,0.225,0.424395,
0.204,0.225,0.422511,
0.205,0.225,0.420407,
0.206,0.225,0.418037,
0.207,0.225,0.41534,
0.208,0.225,0.412234,
0.209,0.225,0.40861,
0.21,0.225,0.404317,
0.211,0.225,0.399158,
0.212,0.225,0.392894,
0.213,0.225,0.385292,
0.214,0.225,0.376223,
0.215,0.225,0.365766,
0.216,0.225,0.354185,
0.217,0.225,0.341798,
0.218,0.225,0.328875,
0.219,0.225,0.315603,
0.22,0.225,0.302107,
0.221,0.225,0.288467,
0.222,0.225,0.274734,
0.223,0.225,0.260941,
0.224,0.225,0.247114,
0.225,0.225,0.233271,
0.226,0.225,0.219428,
0.227,0.225,0.205597,
0.228,0.225,0.191796,
0.229,0.225,0.17804,
0.23,0.225,0.164354,
0.231,0.225,0.150769,
0.232,0.225,0.137335,
0.233,0.225,0.12413,
0.234,0.225,0.111282,
0.235,0.225,0.0989942,
0.236,0.225,0.0875645,
0.237,0.225,0.0773375,
0.238,0.225,0.0685624,
0.239,0.225,0.06126,
0.24,0.225,0.0552423,
0.241,0.225,0.0502429,
0.242,0.225,0.046023,
0.243,0.225,0.0424017,
0.244,0.225,0.0392479,
0.245,0.225,0.0364663,
0.246,0.225,0.033987,
0.247,0.225,0.0317579,
0.248,0.225,0.0297389,
0.249,0.225,0.0278993,
0.25,0.225,0.0262143,
0.251,0.225,0.0246645,
0.252,0.225,0.0232335,
0.253,0.225,0.0219081,
0.254,0.225,0.0206772,
0.255,0.225,0.0195311,
0.256,0.225,0.0184619,
0.257,0.225,0.0174625,
0.258,0.225,0.0165267,
0.259,0.225,0.0156493,
0.26,0.225,0.0148256,
0.261,0.225,0.0140512,
0.262,0.225,0.0133226,
0.263,0.225,0.0126362,
0.264,0.225,0.0119892,
0.265,0.225,0.0113787,
0.266,0.225,0.0108023,
0.267,0.225,0.0102578,
0.268,0.225,0.00974295,
0.269,0.225,0.00925597,
0.27,0.225,0.00879511,
0.271,0.225,0.00835874,
0.272,0.225,0.0079454,
0.273,0.225,0.00755369,
0.274,0.225,0.00718237,
0.275,0.225,0.00683023,
0.276,0.225,0.00649619,
0.277,0.225,0.00617921,
0.278,0.225,0.00587836,
0.279,0.225,0.00559272,
0.28,0.225,0.00532147,
0.281,0.225,0.00506383,
0.282,0.225,0.00481906,
0.283,0.225,0.00458647,
0.284,0.225,0.00436543,
0.285,0.225,0.00415531,
0.286,0.225,0.00395556,
0.287,0.225,0.00376562,
0.288,0.225,0.003585,
0.289,0.225,0.0034132,
0.29,0.225,0.0032498,
0.291,0.225,0.00309435,
0.292,0.225,0.00294646,
0.293,0.225,0.00280574,
0.294,0.225,0.00267184,
0.295,0.225,0.0025444,
0.296,0.225,0.00242312,
0.297,0.225,0.00230769,
0.298,0.225,0.00219781,
0.299,0.225,0.00209321,
0.3,0.225,0.00199364,
0.301,0.225,0.00189884,
0.302,0.225,0.00180859,
0.303,0.225,0.00172265,
0.304,0.225,0.00164083,
0.305,0.225,0.00156291,
0.306,0.225,0.00148872,
0.307,0.225,0.00141807,
0.308,0.225,0.00135079,
0.309,0.225,0.00128671,
0.31,0.225,0.00122569,
0.311,0.225,0.00116757,
0.312,0.225,0.00111222,
0.313,0.225,0.0010595,
0.314,0.225,0.00100929,
0.315,0.225,0.000961461,
0.316,0.225,0.000915909,
0.317,0.225,0.000872519,
0.318,0.225,0.000831191,
0.319,0.225,0.000791824,
0.32,0.225,0.000754327,
0.321,0.225,0.000718607,
0.322,0.225,0.000684584,
0.323,0.225,0.000652173,
0.324,0.225,0.000621301,
0.325,0.225,0.000591891,
0.326,0.225,0.000563877,
0.327,0.225,0.00053719,
0.328,0.225,0.000511769,
0.329,0.225,0.000487552,
0.33,0.225,0.000464484,
0.331,0.225,0.000442508,
0.332,0.225,0.000421573,
0.333,0.225,0.000401631,
0.334,0.225,0.000382633,
0.335,0.225,0.000364536,
0.336,0.225,0.000347296,
0.337,0.225,0.000330872,
0.338,0.225,0.000315227,
0.339,0.225,0.000300322,
0.34,0.225,0.000286124,
0.341,0.225,0.000272598,
0.342,0.225,0.000259713,
0.343,0.225,0.000247437,
0.344,0.225,0.000235744,
0.345,0.225,0.000224604,
0.346,0.225,0.000213992,
0.347,0.225,0.000203882,
0.348,0.225,0.000194251,
0.349,0.225,0.000185075,
0.35,0.225,0.000176335,
0.351,0.225,0.000168008,
0.352,0.225,0.000160075,
0.353,0.225,0.000152518,
0.354,0.225,0.000145319,
0.355,0.225,0.00013846,
0.356,0.225,0.000131926,
0.357,0.225,0.000125701,
0.358,0.225,0.000119771,
0.359,0.225,0.000114122,
0.36,0.225,0.00010874,
0.361,0.225,0.000103612,
0.362,0.225,9.87275e-05,
0.363,0.225,9.40736e-05,
0.364,0.225,8.96401e-05,
0.365,0.225,8.54161e-05,
0.366,0.225,8.1392e-05,
0.367,0.225,7.75581e-05,
0.368,0.225,7.39057e-05,
0.369,0.225,7.04257e-05,
0.37,0.225,6.71105e-05,
0.371,0.225,6.39518e-05,
0.372,0.225,6.09425e-05,
0.373,0.225,5.80753e-05,
0.374,0.225,5.53437e-05,
0.375,0.225,5.27411e-05,
0.376,0.225,5.02614e-05,
0.377,0.225,4.78989e-05,
0.378,0.225,4.56479e-05,
0.379,0.225,4.35032e-05,
0.38,0.225,4.14598e-05,
0.381,0.225,3.95128e-05,
0.382,0.225,3.76577e-05,
0.383,0.225,3.58901e-05,
0.384,0.225,3.42059e-05,
0.385,0.225,3.26012e-05,
0.386,0.225,3.10721e-05,
0.387,0.225,2.96151e-05,
0.388,0.225,2.82269e-05,
0.389,0.225,2.6904e-05,
0.39,0.225,2.56435e-05,
0.391,0.225,2.44423e-05,
0.392,0.225,2.32978e-05,
0.393,0.225,2.22071e-05,
0.394,0.225,2.11678e-05,
0.395,0.225,2.01774e-05,
0.396,0.225,1.92337e-05,
0.397,0.225,1.83343e-05,
0.398,0.225,1.74773e-05,
0.399,0.225,1.66605e-05,
0.4,0.225,1.58822e-05,
0.401,0.225,1.51404e-05,
0.402,0.225,1.44335e-05,
0.403,0.225,1.37598e-05,
0.404,0.225,1.31178e-05,
0.405,0.225,1.25059e-05,
0.406,0.225,1.19227e-05,
0.407,0.225,1.13669e-05,
0.408,0.225,1.08372e-05,
0.409,0.225,1.03323e-05,
0.41,0.225,9.85115e-06,
0.411,0.225,9.39252e-06,
0.412,0.225,8.95541e-06,
0.413,0.225,8.53876e-06,
0.414,0.225,8.14165e-06,
0.415,0.225,7.76312e-06,
0.416,0.225,7.40233e-06,
0.417,0.225,7.05842e-06,
0.418,0.225,6.73061e-06,
0.419,0.225,6.41813e-06,
0.42,0.225,6.12028e-06,
0.421,0.225,5.83634e-06,
0.422,0.225,5.56568e-06,
0.423,0.225,5.30767e-06,
0.424,0.225,5.06171e-06,
0.425,0.225,4.82723e-06,
0.426,0.225,4.60371e-06,
0.427,0.225,4.39062e-06,
0.428,0.225,4.18747e-06,
0.429,0.225,3.9938e-06,
0.43,0.225,3.80916e-06,
0.431,0.225,3.63313e-06,
0.432,0.225,3.4653e-06,
0.433,0.225,3.30529e-06,
0.434,0.225,3.15274e-06,
0.435,0.225,3.00729e-06,
0.436,0.225,2.86861e-06,
0.437,0.225,2.73638e-06,
0.438,0.225,2.6103e-06,
0.439,0.225,2.49009e-06,
0.44,0.225,2.37547e-06,
0.441,0.225,2.26617e-06,
0.442,0.225,2.16195e-06,
0.443,0.225,2.06257e-06,
0.444,0.225,1.96781e-06,
0.445,0.225,1.87745e-06,
0.446,0.225,1.79128e-06,
0.447,0.225,1.70911e-06,
0.448,0.225,1.63075e-06,
0.449,0.225,1.55602e-06