2:*******************************************,
DC Transfer Curves,
Mon Nov 14 19:34:10 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.225,0.449999,
0.001,0.225,0.449999,
0.002,0.225,0.449999,
0.003,0.225,0.449999,
0.004,0.225,0.449999,
0.005,0.225,0.449998,
0.006,0.225,0.449998,
0.007,0.225,0.449998,
0.008,0.225,0.449998,
0.009,0.225,0.449998,
0.01,0.225,0.449998,
0.011,0.225,0.449998,
0.012,0.225,0.449998,
0.013,0.225,0.449998,
0.014,0.225,0.449998,
0.015,0.225,0.449998,
0.016,0.225,0.449998,
0.017,0.225,0.449998,
0.018,0.225,0.449998,
0.019,0.225,0.449997,
0.02,0.225,0.449997,
0.021,0.225,0.449997,
0.022,0.225,0.449997,
0.023,0.225,0.449997,
0.024,0.225,0.449997,
0.025,0.225,0.449997,
0.026,0.225,0.449997,
0.027,0.225,0.449997,
0.028,0.225,0.449996,
0.029,0.225,0.449996,
0.03,0.225,0.449996,
0.031,0.225,0.449996,
0.032,0.225,0.449996,
0.033,0.225,0.449996,
0.034,0.225,0.449995,
0.035,0.225,0.449995,
0.036,0.225,0.449995,
0.037,0.225,0.449995,
0.038,0.225,0.449995,
0.039,0.225,0.449994,
0.04,0.225,0.449994,
0.041,0.225,0.449994,
0.042,0.225,0.449994,
0.043,0.225,0.449993,
0.044,0.225,0.449993,
0.045,0.225,0.449993,
0.046,0.225,0.449993,
0.047,0.225,0.449992,
0.048,0.225,0.449992,
0.049,0.225,0.449992,
0.05,0.225,0.449991,
0.051,0.225,0.449991,
0.052,0.225,0.449991,
0.053,0.225,0.44999,
0.054,0.225,0.44999,
0.055,0.225,0.44999,
0.056,0.225,0.449989,
0.057,0.225,0.449989,
0.058,0.225,0.449988,
0.059,0.225,0.449988,
0.06,0.225,0.449987,
0.061,0.225,0.449987,
0.062,0.225,0.449986,
0.063,0.225,0.449986,
0.064,0.225,0.449985,
0.065,0.225,0.449984,
0.066,0.225,0.449984,
0.067,0.225,0.449983,
0.068,0.225,0.449983,
0.069,0.225,0.449982,
0.07,0.225,0.449981,
0.071,0.225,0.44998,
0.072,0.225,0.449979,
0.073,0.225,0.449979,
0.074,0.225,0.449978,
0.075,0.225,0.449977,
0.076,0.225,0.449976,
0.077,0.225,0.449975,
0.078,0.225,0.449974,
0.079,0.225,0.449973,
0.08,0.225,0.449972,
0.081,0.225,0.449971,
0.082,0.225,0.449969,
0.083,0.225,0.449968,
0.084,0.225,0.449967,
0.085,0.225,0.449965,
0.086,0.225,0.449964,
0.087,0.225,0.449962,
0.088,0.225,0.449961,
0.089,0.225,0.449959,
0.09,0.225,0.449957,
0.091,0.225,0.449956,
0.092,0.225,0.449954,
0.093,0.225,0.449952,
0.094,0.225,0.44995,
0.095,0.225,0.449948,
0.096,0.225,0.449946,
0.097,0.225,0.449943,
0.098,0.225,0.449941,
0.099,0.225,0.449938,
0.1,0.225,0.449936,
0.101,0.225,0.449933,
0.102,0.225,0.44993,
0.103,0.225,0.449927,
0.104,0.225,0.449924,
0.105,0.225,0.449921,
0.106,0.225,0.449918,
0.107,0.225,0.449914,
0.108,0.225,0.44991,
0.109,0.225,0.449906,
0.11,0.225,0.449902,
0.111,0.225,0.449898,
0.112,0.225,0.449894,
0.113,0.225,0.449889,
0.114,0.225,0.449885,
0.115,0.225,0.44988,
0.116,0.225,0.449874,
0.117,0.225,0.449869,
0.118,0.225,0.449863,
0.119,0.225,0.449857,
0.12,0.225,0.449851,
0.121,0.225,0.449845,
0.122,0.225,0.449838,
0.123,0.225,0.449831,
0.124,0.225,0.449823,
0.125,0.225,0.449816,
0.126,0.225,0.449808,
0.127,0.225,0.449799,
0.128,0.225,0.44979,
0.129,0.225,0.449781,
0.13,0.225,0.449771,
0.131,0.225,0.449761,
0.132,0.225,0.449751,
0.133,0.225,0.44974,
0.134,0.225,0.449728,
0.135,0.225,0.449716,
0.136,0.225,0.449703,
0.137,0.225,0.44969,
0.138,0.225,0.449676,
0.139,0.225,0.449662,
0.14,0.225,0.449647,
0.141,0.225,0.449631,
0.142,0.225,0.449614,
0.143,0.225,0.449597,
0.144,0.225,0.449579,
0.145,0.225,0.44956,
0.146,0.225,0.44954,
0.147,0.225,0.449519,
0.148,0.225,0.449497,
0.149,0.225,0.449474,
0.15,0.225,0.44945,
0.151,0.225,0.449425,
0.152,0.225,0.449399,
0.153,0.225,0.449371,
0.154,0.225,0.449342,
0.155,0.225,0.449312,
0.156,0.225,0.44928,
0.157,0.225,0.449247,
0.158,0.225,0.449212,
0.159,0.225,0.449175,
0.16,0.225,0.449137,
0.161,0.225,0.449097,
0.162,0.225,0.449055,
0.163,0.225,0.449011,
0.164,0.225,0.448964,
0.165,0.225,0.448916,
0.166,0.225,0.448865,
0.167,0.225,0.448811,
0.168,0.225,0.448755,
0.169,0.225,0.448696,
0.17,0.225,0.448634,
0.171,0.225,0.448569,
0.172,0.225,0.448501,
0.173,0.225,0.448429,
0.174,0.225,0.448354,
0.175,0.225,0.448275,
0.176,0.225,0.448193,
0.177,0.225,0.448105,
0.178,0.225,0.448014,
0.179,0.225,0.447918,
0.18,0.225,0.447817,
0.181,0.225,0.44771,
0.182,0.225,0.447599,
0.183,0.225,0.447481,
0.184,0.225,0.447358,
0.185,0.225,0.447228,
0.186,0.225,0.447091,
0.187,0.225,0.446947,
0.188,0.225,0.446795,
0.189,0.225,0.446636,
0.19,0.225,0.446468,
0.191,0.225,0.446291,
0.192,0.225,0.446104,
0.193,0.225,0.445908,
0.194,0.225,0.4457,
0.195,0.225,0.445482,
0.196,0.225,0.445251,
0.197,0.225,0.445008,
0.198,0.225,0.444751,
0.199,0.225,0.44448,
0.2,0.225,0.444193,
0.201,0.225,0.44389,
0.202,0.225,0.44357,
0.203,0.225,0.443231,
0.204,0.225,0.442872,
0.205,0.225,0.442492,
0.206,0.225,0.442089,
0.207,0.225,0.441662,
0.208,0.225,0.441208,
0.209,0.225,0.440727,
0.21,0.225,0.440215,
0.211,0.225,0.43967,
0.212,0.225,0.43909,
0.213,0.225,0.438471,
0.214,0.225,0.437811,
0.215,0.225,0.437105,
0.216,0.225,0.436349,
0.217,0.225,0.435538,
0.218,0.225,0.434667,
0.219,0.225,0.43373,
0.22,0.225,0.432718,
0.221,0.225,0.431623,
0.222,0.225,0.430435,
0.223,0.225,0.429141,
0.224,0.225,0.427725,
0.225,0.225,0.426171,
0.226,0.225,0.424453,
0.227,0.225,0.422544,
0.228,0.225,0.420406,
0.229,0.225,0.417989,
0.23,0.225,0.41523,
0.231,0.225,0.41204,
0.232,0.225,0.408301,
0.233,0.225,0.403856,
0.234,0.225,0.398502,
0.235,0.225,0.392006,
0.236,0.225,0.384166,
0.237,0.225,0.374908,
0.238,0.225,0.364359,
0.239,0.225,0.352788,
0.24,0.225,0.340486,
0.241,0.225,0.327689,
0.242,0.225,0.314564,
0.243,0.225,0.301222,
0.244,0.225,0.287733,
0.245,0.225,0.274148,
0.246,0.225,0.260499,
0.247,0.225,0.246811,
0.248,0.225,0.233103,
0.249,0.225,0.219393,
0.25,0.225,0.205695,
0.251,0.225,0.192029,
0.252,0.225,0.178414,
0.253,0.225,0.16488,
0.254,0.225,0.151465,
0.255,0.225,0.138232,
0.256,0.225,0.125277,
0.257,0.225,0.112755,
0.258,0.225,0.1009,
0.259,0.225,0.0900128,
0.26,0.225,0.0803826,
0.261,0.225,0.0721461,
0.262,0.225,0.0652327,
0.263,0.225,0.0594358,
0.264,0.225,0.0545243,
0.265,0.225,0.0503032,
0.266,0.225,0.0466248,
0.267,0.225,0.0433794,
0.268,0.225,0.0404858,
0.269,0.225,0.0378828,
0.27,0.225,0.0355241,
0.271,0.225,0.0333733,
0.272,0.225,0.0314018,
0.273,0.225,0.0295867,
0.274,0.225,0.0279093,
0.275,0.225,0.026354,
0.276,0.225,0.0249079,
0.277,0.225,0.0235601,
0.278,0.225,0.0223012,
0.279,0.225,0.021123,
0.28,0.225,0.0200186,
0.281,0.225,0.0189818,
0.282,0.225,0.0180071,
0.283,0.225,0.0170898,
0.284,0.225,0.0162255,
0.285,0.225,0.0154103,
0.286,0.225,0.0146409,
0.287,0.225,0.0139141,
0.288,0.225,0.0132269,
0.289,0.225,0.0125769,
0.29,0.225,0.0119615,
0.291,0.225,0.0113787,
0.292,0.225,0.0108265,
0.293,0.225,0.0103029,
0.294,0.225,0.00980639,
0.295,0.225,0.00933522,
0.296,0.225,0.00888801,
0.297,0.225,0.00846337,
0.298,0.225,0.00806004,
0.299,0.225,0.00767683,
0.3,0.225,0.00731266,
0.301,0.225,0.00696647,
0.302,0.225,0.00663731,
0.303,0.225,0.00632426,
0.304,0.225,0.00602649,
0.305,0.225,0.00574318,
0.306,0.225,0.0054736,
0.307,0.225,0.00521701,
0.308,0.225,0.00497279,
0.309,0.225,0.00474027,
0.31,0.225,0.00451888,
0.311,0.225,0.00430805,
0.312,0.225,0.00410727,
0.313,0.225,0.00391602,
0.314,0.225,0.00373385,
0.315,0.225,0.00356029,
0.316,0.225,0.00339493,
0.317,0.225,0.00323736,
0.318,0.225,0.00308722,
0.319,0.225,0.00294413,
0.32,0.225,0.00280776,
0.321,0.225,0.00267777,
0.322,0.225,0.00255388,
0.323,0.225,0.00243578,
0.324,0.225,0.0023232,
0.325,0.225,0.00221586,
0.326,0.225,0.00211354,
0.327,0.225,0.00201598,
0.328,0.225,0.00192296,
0.329,0.225,0.00183426,
0.33,0.225,0.00174969,
0.331,0.225,0.00166904,
0.332,0.225,0.00159214,
0.333,0.225,0.0015188,
0.334,0.225,0.00144886,
0.335,0.225,0.00138216,
0.336,0.225,0.00131854,
0.337,0.225,0.00125787,
0.338,0.225,0.00120001,
0.339,0.225,0.00114482,
0.34,0.225,0.00109219,
0.341,0.225,0.00104198,
0.342,0.225,0.000994095,
0.343,0.225,0.000948417,
0.344,0.225,0.000904849,
0.345,0.225,0.000863289,
0.346,0.225,0.000823647,
0.347,0.225,0.000785832,
0.348,0.225,0.000749761,
0.349,0.225,0.000715351,
0.35,0.225,0.000682528,
0.351,0.225,0.000651215,
0.352,0.225,0.000621345,
0.353,0.225,0.000592849,
0.354,0.225,0.000565666,
0.355,0.225,0.000539734,
0.356,0.225,0.000514995,
0.357,0.225,0.000491393,
0.358,0.225,0.000468878,
0.359,0.225,0.000447398,
0.36,0.225,0.000426905,
0.361,0.225,0.000407355,
0.362,0.225,0.000388703,
0.363,0.225,0.000370908,
0.364,0.225,0.000353932,
0.365,0.225,0.000337734,
0.366,0.225,0.000322282,
0.367,0.225,0.000307538,
0.368,0.225,0.000293472,
0.369,0.225,0.000280051,
0.37,0.225,0.000267247,
0.371,0.225,0.00025503,
0.372,0.225,0.000243374,
0.373,0.225,0.000232253,
0.374,0.225,0.000221642,
0.375,0.225,0.000211518,
0.376,0.225,0.000201858,
0.377,0.225,0.000192641,
0.378,0.225,0.000183846,
0.379,0.225,0.000175455,
0.38,0.225,0.000167449,
0.381,0.225,0.000159809,
0.382,0.225,0.000152519,
0.383,0.225,0.000145563,
0.384,0.225,0.000138926,
0.385,0.225,0.000132593,
0.386,0.225,0.00012655,
0.387,0.225,0.000120783,
0.388,0.225,0.000115281,
0.389,0.225,0.00011003,
0.39,0.225,0.000105019,
0.391,0.225,0.000100238,
0.392,0.225,9.56755e-05,
0.393,0.225,9.13215e-05,
0.394,0.225,8.71667e-05,
0.395,0.225,8.32016e-05,
0.396,0.225,7.9418e-05,
0.397,0.225,7.58071e-05,
0.398,0.225,7.23613e-05,
0.399,0.225,6.90727e-05,
0.4,0.225,6.59345e-05,
0.401,0.225,6.29394e-05,
0.402,0.225,6.00812e-05,
0.403,0.225,5.73533e-05,
0.404,0.225,5.475e-05,
0.405,0.225,5.22653e-05,
0.406,0.225,4.98941e-05,
0.407,0.225,4.76309e-05,
0.408,0.225,4.5471e-05,
0.409,0.225,4.34095e-05,
0.41,0.225,4.1442e-05,
0.411,0.225,3.9564e-05,
0.412,0.225,3.77717e-05,
0.413,0.225,3.60609e-05,
0.414,0.225,3.44281e-05,
0.415,0.225,3.28696e-05,
0.416,0.225,3.1382e-05,
0.417,0.225,2.99621e-05,
0.418,0.225,2.86068e-05,
0.419,0.225,2.73131e-05,
0.42,0.225,2.60783e-05,
0.421,0.225,2.48995e-05,
0.422,0.225,2.37744e-05,
0.423,0.225,2.27004e-05,
0.424,0.225,2.16751e-05,
0.425,0.225,2.06964e-05,
0.426,0.225,1.97622e-05,
0.427,0.225,1.88704e-05,
0.428,0.225,1.8019e-05,
0.429,0.225,1.72063e-05,
0.43,0.225,1.64304e-05,
0.431,0.225,1.56897e-05,
0.432,0.225,1.49826e-05,
0.433,0.225,1.43075e-05,
0.434,0.225,1.36631e-05,
0.435,0.225,1.30478e-05,
0.436,0.225,1.24604e-05,
0.437,0.225,1.18996e-05,
0.438,0.225,1.13642e-05,
0.439,0.225,1.0853e-05,
0.44,0.225,1.03649e-05,
0.441,0.225,9.89895e-06,
0.442,0.225,9.45405e-06,
0.443,0.225,9.02925e-06,
0.444,0.225,8.62367e-06,
0.445,0.225,8.2364e-06,
0.446,0.225,7.86664e-06,
0.447,0.225,7.51357e-06,
0.448,0.225,7.17646e-06,
0.449,0.225,6.85455e-06